               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.014929,           0.0057494,           0.0010995,             0.97164,             0.95946,             0.98297,             0.83119,            0.017893,           0.0060704,           0.0021784,            0.003961,            0.003961,            0.003961
                  63,             0.01502,           0.0056501,          0.00093811,              0.9811,             0.95064,             0.98043,             0.83179,            0.017364,           0.0059252,           0.0024857,            0.003862,            0.003862,            0.003862
                  64,            0.014702,           0.0055985,          0.00096507,             0.96937,             0.95648,             0.97948,              0.8256,            0.017597,           0.0060161,           0.0029504,            0.003763,            0.003763,            0.003763
                  65,            0.014349,           0.0055045,           0.0011763,             0.97559,             0.96209,             0.98334,             0.83507,            0.017728,           0.0060017,            0.002384,            0.003664,            0.003664,            0.003664
                  66,            0.014377,           0.0054821,          0.00086858,             0.98386,             0.95911,             0.98107,              0.8323,            0.017634,           0.0059721,           0.0019462,            0.003565,            0.003565,            0.003565
                  67,            0.014317,           0.0054851,          0.00084272,             0.97456,             0.96541,              0.9835,              0.8283,            0.017972,            0.006135,            0.002124,            0.003466,            0.003466,            0.003466
                  68,            0.014391,           0.0056348,          0.00092451,             0.99383,             0.95615,             0.98319,             0.83127,            0.017349,           0.0059874,           0.0021067,            0.003367,            0.003367,            0.003367
                  69,            0.013983,           0.0053961,          0.00093345,             0.96998,             0.96039,              0.9833,             0.83597,            0.017399,           0.0060532,           0.0020451,            0.003268,            0.003268,            0.003268
                  70,             0.01401,           0.0054095,          0.00085791,             0.98118,             0.96862,             0.98426,             0.83558,             0.01744,           0.0059767,           0.0021821,            0.003169,            0.003169,            0.003169
                  71,            0.013885,           0.0055486,          0.00082188,             0.98962,             0.95575,             0.98343,             0.83775,            0.017255,           0.0059798,           0.0019615,             0.00307,             0.00307,             0.00307
                  72,            0.013787,           0.0052765,          0.00087504,             0.98744,               0.957,             0.98229,              0.8408,            0.017249,           0.0060338,           0.0017116,            0.002971,            0.002971,            0.002971
                  73,            0.013538,           0.0052746,          0.00075638,             0.99026,             0.95885,             0.97978,             0.83654,            0.017098,           0.0059306,           0.0022452,            0.002872,            0.002872,            0.002872
                  74,            0.013305,           0.0051788,          0.00076129,             0.98778,              0.9613,             0.98436,             0.83742,            0.017394,           0.0060094,           0.0021663,            0.002773,            0.002773,            0.002773
                  75,            0.013047,           0.0051895,          0.00093449,             0.98803,             0.96187,             0.98572,             0.84251,            0.017308,           0.0058744,           0.0023875,            0.002674,            0.002674,            0.002674
                  76,            0.012819,           0.0051238,          0.00086124,             0.98791,              0.9675,             0.98548,             0.85149,            0.017088,           0.0058839,           0.0021124,            0.002575,            0.002575,            0.002575
                  77,            0.012883,           0.0051801,          0.00077532,             0.97542,             0.96298,             0.98148,             0.84219,            0.017418,           0.0060099,           0.0020256,            0.002476,            0.002476,            0.002476
                  78,            0.012831,           0.0050831,          0.00062647,             0.98261,             0.96393,             0.98355,             0.84555,            0.017425,           0.0059835,           0.0021366,            0.002377,            0.002377,            0.002377
                  79,            0.012821,           0.0049318,          0.00064675,             0.97494,             0.96082,             0.97961,             0.83608,            0.017296,           0.0059335,           0.0025608,            0.002278,            0.002278,            0.002278
                  80,            0.012863,           0.0051013,          0.00071241,             0.98073,             0.96311,             0.98491,             0.85436,            0.017021,           0.0058622,           0.0024372,            0.002179,            0.002179,            0.002179
